,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_rank,params_window_length,system_attrs_nsga2:generation,state
115,115,0.31436797774491254,0.08740336398957231,2024-05-10 18:03:00.291730,2024-05-10 18:03:09.120993,0 days 00:00:08.829263,31,54,97,2,COMPLETE
116,116,0.2280938775238274,0.10286009399282237,2024-05-10 18:03:09.123982,2024-05-10 18:03:16.439543,0 days 00:00:07.315561,75,147,189,2,COMPLETE
117,117,0.4457282173720379,0.08344997524164632,2024-05-10 18:03:16.442687,2024-05-10 18:03:26.758032,0 days 00:00:10.315345,48,80,128,2,COMPLETE
118,118,-0.7230299850513663,0.15195366411694614,2024-05-10 18:03:26.759029,2024-05-10 18:03:33.069449,0 days 00:00:06.310420,37,25,180,2,COMPLETE
119,119,-0.37654541803297736,0.11755812758448189,2024-05-10 18:03:33.077101,2024-05-10 18:03:42.718289,0 days 00:00:09.641188,20,18,186,2,COMPLETE
120,120,-0.07625169586134786,0.12118491238807867,2024-05-10 18:03:42.723859,2024-05-10 18:03:52.528563,0 days 00:00:09.804704,78,62,109,2,COMPLETE
121,121,0.25764755932205025,0.09305695783526821,2024-05-10 18:03:52.537175,2024-05-10 18:04:00.868174,0 days 00:00:08.330999,99,40,66,2,COMPLETE
122,122,0.2753047757919968,0.09398959011698431,2024-05-10 18:04:00.870177,2024-05-10 18:04:14.810730,0 days 00:00:13.940553,52,14,93,2,COMPLETE
123,123,0.27808910648961166,0.09741950158357607,2024-05-10 18:04:14.817624,2024-05-10 18:04:25.940013,0 days 00:00:11.122389,92,42,66,2,COMPLETE
124,124,-2.790731060706581,0.20262778540006013,2024-05-10 18:04:25.948916,2024-05-10 18:04:34.758505,0 days 00:00:08.809589,4,90,93,2,COMPLETE
125,125,-1.368842811932475,0.1688577272612293,2024-05-10 18:04:34.758505,2024-05-10 18:04:40.449701,0 days 00:00:05.691196,80,20,66,2,COMPLETE
126,126,0.16712529277333893,0.10233366821430719,2024-05-10 18:04:40.458545,2024-05-10 18:04:46.455948,0 days 00:00:05.997403,40,64,93,2,COMPLETE
