,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_window_length,system_attrs_nsga2:generation,state
73,73,-355.23722661315867,0.00022016317461055166,2024-05-16 12:32:58.330327,2024-05-16 12:33:00.524335,0 days 00:00:02.194008,45,91,1,COMPLETE
74,74,-4.265246761130535,4.4390041233842885e-05,2024-05-16 12:33:00.526363,2024-05-16 12:33:02.529092,0 days 00:00:02.002729,21,206,1,COMPLETE
75,75,-23.398192578928228,0.0001006625893696544,2024-05-16 12:33:02.531444,2024-05-16 12:33:04.900536,0 days 00:00:02.369092,76,191,1,COMPLETE
76,76,-5.861801256081641,5.1479928632908376e-05,2024-05-16 12:33:04.901762,2024-05-16 12:33:07.250787,0 days 00:00:02.349025,26,67,1,COMPLETE
77,77,-5.186024405764355,4.849139592404833e-05,2024-05-16 12:33:07.257049,2024-05-16 12:33:09.283626,0 days 00:00:02.026577,23,20,1,COMPLETE
78,78,-19.23827684170589,9.045686174414676e-05,2024-05-16 12:33:09.292185,2024-05-16 12:33:12.429483,0 days 00:00:03.137298,62,149,1,COMPLETE
79,79,-34.15401927240795,9.989266678845515e-05,2024-05-16 12:33:12.430622,2024-05-16 12:33:14.590902,0 days 00:00:02.160280,32,8,1,COMPLETE
80,80,-5.322119578309897,4.669889257024572e-05,2024-05-16 12:33:14.592828,2024-05-16 12:33:16.399331,0 days 00:00:01.806503,12,175,1,COMPLETE
81,81,-19.65430496042507,9.295578489698991e-05,2024-05-16 12:33:16.402010,2024-05-16 12:33:18.483453,0 days 00:00:02.081443,66,75,1,COMPLETE
82,82,-14.300360072444686,8.009261501942314e-05,2024-05-16 12:33:18.489414,2024-05-16 12:33:21.300036,0 days 00:00:02.810622,52,56,1,COMPLETE
83,83,-61.17308938000296,0.000109680938501165,2024-05-16 12:33:21.302321,2024-05-16 12:33:23.228590,0 days 00:00:01.926269,7,8,1,COMPLETE
84,84,-27.031496426294904,0.00010854032179576473,2024-05-16 12:33:23.237601,2024-05-16 12:33:25.469207,0 days 00:00:02.231606,76,213,1,COMPLETE
85,85,-3.869791757758873,4.230457280066917e-05,2024-05-16 12:33:25.481011,2024-05-16 12:33:27.472382,0 days 00:00:01.991371,10,154,1,COMPLETE
86,86,-7.874364382563499,5.5410323867185186e-05,2024-05-16 12:33:27.474376,2024-05-16 12:33:29.217979,0 days 00:00:01.743603,3,129,1,COMPLETE
87,87,-11.722709321454968,7.274606849807715e-05,2024-05-16 12:33:29.219257,2024-05-16 12:33:31.193685,0 days 00:00:01.974428,44,92,1,COMPLETE
88,88,-5.929270061536904,5.1517777135241286e-05,2024-05-16 12:33:31.201750,2024-05-16 12:33:33.144022,0 days 00:00:01.942272,22,111,1,COMPLETE
89,89,-4.436084914515402,4.546209817810297e-05,2024-05-16 12:33:33.146047,2024-05-16 12:33:35.202305,0 days 00:00:02.056258,18,203,1,COMPLETE
90,90,-30.80321938836841,0.00010436968349714464,2024-05-16 12:33:35.211077,2024-05-16 12:33:37.270157,0 days 00:00:02.059080,89,99,1,COMPLETE
91,91,-41.98904668139211,0.00011756582747011019,2024-05-16 12:33:37.272321,2024-05-16 12:33:39.917491,0 days 00:00:02.645170,45,34,1,COMPLETE
92,92,-4.27119996065836,4.452413476172925e-05,2024-05-16 12:33:39.919628,2024-05-16 12:33:41.950778,0 days 00:00:02.031150,14,97,1,COMPLETE
93,93,-6.343525658391201,5.124679822371822e-05,2024-05-16 12:33:41.951768,2024-05-16 12:33:43.841283,0 days 00:00:01.889515,18,132,1,COMPLETE
94,94,-19.37215440815217,8.992796895176989e-05,2024-05-16 12:33:43.844641,2024-05-16 12:33:46.116101,0 days 00:00:02.271460,60,213,1,COMPLETE
95,95,-4.866064631293317,4.71856606991e-05,2024-05-16 12:33:46.118831,2024-05-16 12:33:47.988615,0 days 00:00:01.869784,18,207,1,COMPLETE
96,96,-6.817519150786981,5.646435180658997e-05,2024-05-16 12:33:47.990610,2024-05-16 12:33:49.936888,0 days 00:00:01.946278,26,168,1,COMPLETE
97,97,-19.35479241319024,9.054824324679722e-05,2024-05-16 12:33:49.951620,2024-05-16 12:33:52.546370,0 days 00:00:02.594750,76,91,1,COMPLETE
98,98,-65.33636385846629,0.00013549841714195762,2024-05-16 12:33:52.549131,2024-05-16 12:33:54.653447,0 days 00:00:02.104316,56,19,1,COMPLETE
99,99,-13.869423212667147,6.542323309978093e-05,2024-05-16 12:33:54.658519,2024-05-16 12:33:56.543953,0 days 00:00:01.885434,22,100,1,COMPLETE
100,100,-4.913526184474352,4.725589382220287e-05,2024-05-16 12:33:56.546366,2024-05-16 12:33:58.437484,0 days 00:00:01.891118,3,62,2,COMPLETE
101,101,-4.18954275877927,4.465136670093926e-05,2024-05-16 12:33:58.439778,2024-05-16 12:34:00.527157,0 days 00:00:02.087379,21,8,2,COMPLETE
102,102,-4.610857678719524,4.6045865568446315e-05,2024-05-16 12:34:00.538751,2024-05-16 12:34:02.498999,0 days 00:00:01.960248,7,211,2,COMPLETE
103,103,-11.3943291574543,6.99510365223527e-05,2024-05-16 12:34:02.506522,2024-05-16 12:34:04.748872,0 days 00:00:02.242350,34,143,2,COMPLETE
104,104,-17.86654349092937,8.426289929602244e-05,2024-05-16 12:34:04.749870,2024-05-16 12:34:07.005944,0 days 00:00:02.256074,54,168,2,COMPLETE
105,105,-14.828148118397712,6.098805000769279e-05,2024-05-16 12:34:07.009162,2024-05-16 12:34:08.946139,0 days 00:00:01.936977,18,116,2,COMPLETE
106,106,-4.5581568253844,4.572602052252881e-05,2024-05-16 12:34:08.948633,2024-05-16 12:34:11.605973,0 days 00:00:02.657340,12,206,2,COMPLETE
107,107,-20.942256571272708,9.495914698605586e-05,2024-05-16 12:34:11.607618,2024-05-16 12:34:14.220065,0 days 00:00:02.612447,63,110,2,COMPLETE
108,108,-12.125180659506151,7.029006342001419e-05,2024-05-16 12:34:14.228720,2024-05-16 12:34:16.679953,0 days 00:00:02.451233,50,208,2,COMPLETE
109,109,-8.367316470774705,6.077956984421798e-05,2024-05-16 12:34:16.681948,2024-05-16 12:34:18.868553,0 days 00:00:02.186605,29,116,2,COMPLETE
110,110,-59.38622337119047,0.00014277284764155866,2024-05-16 12:34:18.869550,2024-05-16 12:34:21.176272,0 days 00:00:02.306722,95,41,2,COMPLETE
111,111,-4.014585191576801,4.349412606623276e-05,2024-05-16 12:34:21.182762,2024-05-16 12:34:23.184055,0 days 00:00:02.001293,7,185,2,COMPLETE
112,112,-5.047974869780534,4.7779560828288104e-05,2024-05-16 12:34:23.190570,2024-05-16 12:34:25.820177,0 days 00:00:02.629607,12,63,2,COMPLETE
113,113,-28.190209722203765,0.00010858798614791071,2024-05-16 12:34:25.822172,2024-05-16 12:34:28.201665,0 days 00:00:02.379493,97,62,2,COMPLETE
114,114,-4.852794881274933,4.5689502786947116e-05,2024-05-16 12:34:28.211281,2024-05-16 12:34:30.096152,0 days 00:00:01.884871,22,136,2,COMPLETE
115,115,-5.0277023466997,4.768904210317872e-05,2024-05-16 12:34:30.099885,2024-05-16 12:34:32.263282,0 days 00:00:02.163397,18,111,2,COMPLETE
116,116,-9.997369587343465,6.165830709240954e-05,2024-05-16 12:34:32.267200,2024-05-16 12:34:34.669187,0 days 00:00:02.401987,26,106,2,COMPLETE
117,117,-5.560655241986332,5.030642424480192e-05,2024-05-16 12:34:34.670635,2024-05-16 12:34:36.560405,0 days 00:00:01.889770,22,72,2,COMPLETE
118,118,-25.995565604852295,0.00010596238521230628,2024-05-16 12:34:36.564204,2024-05-16 12:34:39.167117,0 days 00:00:02.602913,97,28,2,COMPLETE
119,119,-7.941570210479566,5.77553949101882e-05,2024-05-16 12:34:39.172513,2024-05-16 12:34:41.329514,0 days 00:00:02.157001,21,27,2,COMPLETE
120,120,-18.637522380283862,8.94548147982945e-05,2024-05-16 12:34:41.330511,2024-05-16 12:34:43.674006,0 days 00:00:02.343495,85,45,2,COMPLETE
121,121,-16.706837411705127,8.04009562444966e-05,2024-05-16 12:34:43.675287,2024-05-16 12:34:46.464855,0 days 00:00:02.789568,62,165,2,COMPLETE
122,122,-4.443083707049927,4.515379757730288e-05,2024-05-16 12:34:46.470692,2024-05-16 12:34:48.631816,0 days 00:00:02.161124,9,70,2,COMPLETE
123,123,-30.233995408975897,0.00010213372652111582,2024-05-16 12:34:48.634106,2024-05-16 12:34:51.214170,0 days 00:00:02.580064,58,111,2,COMPLETE
124,124,-135.72284788403505,0.00016366586077903243,2024-05-16 12:34:51.215189,2024-05-16 12:34:53.549957,0 days 00:00:02.334768,34,133,2,COMPLETE
125,125,-6.334480665887157,5.1345354070718346e-05,2024-05-16 12:34:53.551123,2024-05-16 12:34:55.626979,0 days 00:00:02.075856,22,202,2,COMPLETE
126,126,-20705.244696798083,0.0014317671019688954,2024-05-16 12:34:55.628942,2024-05-16 12:34:58.095935,0 days 00:00:02.466993,79,67,2,COMPLETE
127,127,-4.237989619615367,4.4511176469887444e-05,2024-05-16 12:34:58.098006,2024-05-16 12:35:00.069627,0 days 00:00:01.971621,6,58,2,COMPLETE
128,128,-4.509483135165757,4.5569687560727764e-05,2024-05-16 12:35:00.070777,2024-05-16 12:35:02.764622,0 days 00:00:02.693845,3,14,2,COMPLETE
129,129,-4.455417756731805,4.5379625047051417e-05,2024-05-16 12:35:02.767309,2024-05-16 12:35:05.636521,0 days 00:00:02.869212,5,116,2,COMPLETE
130,130,-6.809652258996131,5.6014670159900144e-05,2024-05-16 12:35:05.641605,2024-05-16 12:35:09.395611,0 days 00:00:03.754006,26,207,2,COMPLETE
131,131,-52.430702312790075,0.0001270594363894689,2024-05-16 12:35:09.410811,2024-05-16 12:35:12.159212,0 days 00:00:02.748401,94,47,2,COMPLETE
132,132,-4.552334442198275,4.579514223163548e-05,2024-05-16 12:35:12.160282,2024-05-16 12:35:14.397457,0 days 00:00:02.237175,10,181,2,COMPLETE
133,133,-5.302469225361173,4.900055068720332e-05,2024-05-16 12:35:14.399513,2024-05-16 12:35:17.158863,0 days 00:00:02.759350,18,8,2,COMPLETE
134,134,-163.20894096988002,0.00017460425217310794,2024-05-16 12:35:17.161675,2024-05-16 12:35:19.377760,0 days 00:00:02.216085,66,175,2,COMPLETE
135,135,-4.543204445920859,4.578838037899825e-05,2024-05-16 12:35:19.380731,2024-05-16 12:35:21.317137,0 days 00:00:01.936406,6,56,2,COMPLETE
136,136,-18.992261941727634,9.198544406430336e-05,2024-05-16 12:35:21.319289,2024-05-16 12:35:23.921587,0 days 00:00:02.602298,64,92,2,COMPLETE
137,137,-16.215426346264678,7.096630972875199e-05,2024-05-16 12:35:23.922653,2024-05-16 12:35:26.114991,0 days 00:00:02.192338,34,143,2,COMPLETE
138,138,-12.527843699184725,7.43777925682208e-05,2024-05-16 12:35:26.117009,2024-05-16 12:35:28.219600,0 days 00:00:02.102591,46,3,2,COMPLETE
139,139,-6.18394250352639,5.090506401658041e-05,2024-05-16 12:35:28.221972,2024-05-16 12:35:30.069862,0 days 00:00:01.847890,5,59,2,COMPLETE
140,140,-404.30815731271434,0.00014837965009215494,2024-05-16 12:35:30.077603,2024-05-16 12:35:32.018867,0 days 00:00:01.941264,18,184,2,COMPLETE
141,141,-6.655182852111253,5.505244907312273e-05,2024-05-16 12:35:32.029091,2024-05-16 12:35:33.952596,0 days 00:00:01.923505,25,168,2,COMPLETE
