,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,params_use_boxcox,system_attrs_nsga2:generation,state
113,113,-0.026502079951036393,0.11832854389022425,2024-05-16 08:21:59.080683,2024-05-16 08:22:02.869786,0 days 00:00:03.789103,99,0.4879319062745462,0.5501092435808229,True,2,COMPLETE
114,114,-0.11728446390603783,0.12153060305777405,2024-05-16 08:22:02.871781,2024-05-16 08:22:05.427801,0 days 00:00:02.556020,70,0.3808925512097452,0.09529769336515159,False,2,COMPLETE
115,115,-0.6538819325041871,0.13764562836436503,2024-05-16 08:22:05.429878,2024-05-16 08:22:08.489044,0 days 00:00:03.059166,55,0.8963994392275162,0.29107485132868416,True,2,COMPLETE
116,116,-0.6460024280460314,0.1494959083439525,2024-05-16 08:22:08.491039,2024-05-16 08:22:11.991782,0 days 00:00:03.500743,36,0.7988942939923995,0.4114277405311313,False,2,COMPLETE
117,117,-0.17622657484756868,0.1292529688403516,2024-05-16 08:22:11.993766,2024-05-16 08:22:15.411109,0 days 00:00:03.417343,77,0.8815382014493156,0.3831481589321116,True,2,COMPLETE
118,118,-0.308888968412613,0.13615251452351074,2024-05-16 08:22:15.413823,2024-05-16 08:22:17.807722,0 days 00:00:02.393899,88,0.47690790769480573,0.9483548979403488,True,2,COMPLETE
119,119,0.00042852442091561026,0.11878241460275576,2024-05-16 08:22:17.808720,2024-05-16 08:22:22.701466,0 days 00:00:04.892746,32,0.9745573768214442,0.13293282893003344,False,2,COMPLETE
120,120,-1.0192350052598753,0.14222241547843617,2024-05-16 08:22:22.703055,2024-05-16 08:22:26.588759,0 days 00:00:03.885704,31,0.6895489805070489,0.5552644449207176,False,2,COMPLETE
121,121,-0.5421945516982056,0.13788872509649586,2024-05-16 08:22:26.590706,2024-05-16 08:22:29.848809,0 days 00:00:03.258103,45,0.29766005938419293,0.8676576060042794,True,2,COMPLETE
122,122,0.1573532170787692,0.10144395555051429,2024-05-16 08:22:29.850805,2024-05-16 08:22:32.339234,0 days 00:00:02.488429,70,0.5769768960533889,0.4589221096227811,False,2,COMPLETE
123,123,-0.0026169481913137283,0.11049168474445206,2024-05-16 08:22:32.340299,2024-05-16 08:22:34.585633,0 days 00:00:02.245334,75,0.8312616653625509,0.831731137162014,False,2,COMPLETE
124,124,-0.67333292659534,0.14983563363685642,2024-05-16 08:22:34.587611,2024-05-16 08:22:36.567640,0 days 00:00:01.980029,45,0.7142018300296177,0.6895785432889812,True,2,COMPLETE
125,125,-0.38947761961678196,0.12452338230935947,2024-05-16 08:22:36.569639,2024-05-16 08:22:42.001015,0 days 00:00:05.431376,42,0.8965634370266353,0.18773922746579486,True,2,COMPLETE
126,126,0.387841317001765,0.09010950300809113,2024-05-16 08:22:42.003008,2024-05-16 08:22:44.892995,0 days 00:00:02.889987,45,0.8965634370266353,0.18773922746579486,True,2,COMPLETE
127,127,-1.519708485578981,0.19295116486602826,2024-05-16 08:22:44.895008,2024-05-16 08:22:46.242049,0 days 00:00:01.347041,73,0.5001677245358446,0.43776005475302393,False,2,COMPLETE
128,128,-0.6589001883911576,0.14996360004670956,2024-05-16 08:22:46.244243,2024-05-16 08:22:48.621883,0 days 00:00:02.377640,79,0.840262523172553,0.5552644449207176,True,2,COMPLETE
129,129,-2.599321675785151,0.20291751349002377,2024-05-16 08:22:48.624067,2024-05-16 08:22:51.613274,0 days 00:00:02.989207,79,0.025482314817081297,0.40882399645604595,False,2,COMPLETE
130,130,-2.018601173968616,0.18268891367388068,2024-05-16 08:22:51.615047,2024-05-16 08:22:53.936883,0 days 00:00:02.321836,31,0.8474370145211185,0.3384187428878158,False,2,COMPLETE
131,131,0.2518259129646366,0.10010115449139771,2024-05-16 08:22:53.937950,2024-05-16 08:22:57.977140,0 days 00:00:04.039190,58,0.8963994392275162,0.4114277405311313,True,2,COMPLETE
132,132,-0.08044071944646188,0.12079919177003817,2024-05-16 08:22:57.979135,2024-05-16 08:23:01.783442,0 days 00:00:03.804307,99,0.7010900462694593,0.09529769336515159,False,2,COMPLETE
133,133,0.08168371773566863,0.11414277500269725,2024-05-16 08:23:01.785327,2024-05-16 08:23:05.527833,0 days 00:00:03.742506,31,0.8815382014493156,0.6895785432889812,False,2,COMPLETE
134,134,-0.34601023000887515,0.12718799905677186,2024-05-16 08:23:05.529826,2024-05-16 08:23:07.414856,0 days 00:00:01.885030,45,0.7010900462694593,0.941236161838664,False,2,COMPLETE
135,135,-0.760915786441444,0.1525436441412453,2024-05-16 08:23:07.417466,2024-05-16 08:23:09.262106,0 days 00:00:01.844640,86,0.29766005938419293,0.33217112844992047,False,2,COMPLETE
136,136,-0.8953501452170801,0.1577320385411945,2024-05-16 08:23:09.264102,2024-05-16 08:23:11.656370,0 days 00:00:02.392268,36,0.7949874873712804,0.40882399645604595,False,2,COMPLETE
137,137,0.1935154757123748,0.10346971868158991,2024-05-16 08:23:11.658521,2024-05-16 08:23:16.938169,0 days 00:00:05.279648,47,0.8963994392275162,0.18773922746579486,False,2,COMPLETE
138,138,-1.772033595609734,0.16211839688309318,2024-05-16 08:23:16.940161,2024-05-16 08:23:21.525092,0 days 00:00:04.584931,31,0.9745573768214442,0.1127871748024758,False,2,COMPLETE
