,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,system_attrs_nsga2:generation,state
112,112,-1.3562192012532224,0.007930322783736746,2024-05-18 14:24:03.456059,2024-05-18 14:24:06.956178,0 days 00:00:03.500119,629,0.6118701562765668,2,COMPLETE
113,113,-0.9030218842558984,0.006859872857894862,2024-05-18 14:24:06.956178,2024-05-18 14:24:10.870573,0 days 00:00:03.914395,563,0.8960552745182939,2,COMPLETE
114,114,-0.42614131473344374,0.006039613296010051,2024-05-18 14:24:10.870573,2024-05-18 14:24:13.177321,0 days 00:00:02.306748,340,0.03836464194036482,2,COMPLETE
115,115,-0.39282907242943277,0.005940634948894167,2024-05-18 14:24:13.177321,2024-05-18 14:24:17.670612,0 days 00:00:04.493291,690,0.5855621864660694,2,COMPLETE
116,116,-0.665683638393814,0.006488116010869657,2024-05-18 14:24:17.672606,2024-05-18 14:24:23.058118,0 days 00:00:05.385512,782,0.5855621864660694,2,COMPLETE
117,117,-0.7892009327937693,0.00659716085677515,2024-05-18 14:24:23.058118,2024-05-18 14:24:28.178699,0 days 00:00:05.120581,992,0.6772773471191431,2,COMPLETE
118,118,-0.6739478360274235,0.006530973943540672,2024-05-18 14:24:28.178699,2024-05-18 14:24:32.723531,0 days 00:00:04.544832,659,0.7446828817137751,2,COMPLETE
119,119,-0.4717817648974937,0.006172038822270411,2024-05-18 14:24:32.725646,2024-05-18 14:24:34.733747,0 days 00:00:02.008101,108,0.2872477928571312,2,COMPLETE
120,120,-0.7318210551995097,0.006696287917811472,2024-05-18 14:24:34.735742,2024-05-18 14:24:39.357792,0 days 00:00:04.622050,764,0.8173924745726491,2,COMPLETE
121,121,-0.4311053418234052,0.006041128867144712,2024-05-18 14:24:39.357792,2024-05-18 14:24:42.563182,0 days 00:00:03.205390,648,0.48355820020741525,2,COMPLETE
122,122,-0.9396054143814896,0.007002021571097593,2024-05-18 14:24:42.563362,2024-05-18 14:24:47.601125,0 days 00:00:05.037763,838,0.5855621864660694,2,COMPLETE
123,123,-1.1386059400342343,0.007417272592154625,2024-05-18 14:24:47.603188,2024-05-18 14:24:50.789032,0 days 00:00:03.185844,491,0.2872477928571312,2,COMPLETE
124,124,-1.436376119223164,0.00802237741927298,2024-05-18 14:24:50.789032,2024-05-18 14:24:52.856813,0 days 00:00:02.067781,263,0.4771753934799936,2,COMPLETE
125,125,-0.6264027530260924,0.0064252523851626876,2024-05-18 14:24:52.856813,2024-05-18 14:24:55.079843,0 days 00:00:02.223030,374,0.36939137150392565,2,COMPLETE
126,126,-0.4498265160873388,0.006131501614847967,2024-05-18 14:24:55.095463,2024-05-18 14:24:59.969619,0 days 00:00:04.874156,938,0.30814854003418424,2,COMPLETE
127,127,-1.615160507618493,0.008305455982386408,2024-05-18 14:24:59.985241,2024-05-18 14:25:01.920026,0 days 00:00:01.934785,182,0.06195278710940644,2,COMPLETE
128,128,-0.3719374238239407,0.005994027008236727,2024-05-18 14:25:01.920026,2024-05-18 14:25:04.404934,0 days 00:00:02.484908,378,0.7087737942871889,2,COMPLETE
129,129,-0.5663141200707885,0.006306123896512361,2024-05-18 14:25:04.404934,2024-05-18 14:25:09.141929,0 days 00:00:04.736995,799,0.27379101105617243,2,COMPLETE
130,130,-0.31480156327696707,0.005925825883114531,2024-05-18 14:25:09.141929,2024-05-18 14:25:11.200758,0 days 00:00:02.058829,199,0.7087737942871889,2,COMPLETE
131,131,-0.46853088946344473,0.00607524139020064,2024-05-18 14:25:11.200758,2024-05-18 14:25:13.559212,0 days 00:00:02.358454,305,0.46872282321131487,2,COMPLETE
132,132,-1.2691400250280132,0.007836808613742734,2024-05-18 14:25:13.559212,2024-05-18 14:25:16.418548,0 days 00:00:02.859336,576,0.6118701562765668,2,COMPLETE
133,133,-0.8266640570809299,0.006927533209372352,2024-05-18 14:25:16.418548,2024-05-18 14:25:18.506258,0 days 00:00:02.087710,87,0.749722896569078,2,COMPLETE
134,134,-1.2033292813476595,0.007430286077663479,2024-05-18 14:25:18.506258,2024-05-18 14:25:21.055157,0 days 00:00:02.548899,219,0.7230951378218081,2,COMPLETE
135,135,-1.380459501930348,0.0076811964471425135,2024-05-18 14:25:21.055157,2024-05-18 14:25:23.988545,0 days 00:00:02.933388,384,0.4805405811257629,2,COMPLETE
136,136,-1.2427143232342415,0.0076462196763785436,2024-05-18 14:25:23.989542,2024-05-18 14:25:29.010244,0 days 00:00:05.020702,918,0.10395212175195867,2,COMPLETE
137,137,-0.9852611062209775,0.007115977034864896,2024-05-18 14:25:29.010244,2024-05-18 14:25:31.118092,0 days 00:00:02.107848,262,0.4528180476588386,2,COMPLETE
138,138,-0.8403159018960518,0.006809166428506834,2024-05-18 14:25:31.118092,2024-05-18 14:25:33.756835,0 days 00:00:02.638743,469,0.04378997593308853,2,COMPLETE
139,139,-0.7569122316873622,0.006804521362892738,2024-05-18 14:25:33.758830,2024-05-18 14:25:36.276114,0 days 00:00:02.517284,406,0.6651026461018491,2,COMPLETE
140,140,-0.7820856540268554,0.006768247430414742,2024-05-18 14:25:36.278108,2024-05-18 14:25:41.537522,0 days 00:00:05.259414,967,0.17260011238648731,2,COMPLETE
141,141,-0.3582227023544468,0.005940425054472094,2024-05-18 14:25:41.553141,2024-05-18 14:25:44.410598,0 days 00:00:02.857457,586,0.2758632087197752,2,COMPLETE
142,142,-0.714054946845631,0.00637622964976336,2024-05-18 14:25:44.410598,2024-05-18 14:25:46.743940,0 days 00:00:02.333342,378,0.3048686773328779,2,COMPLETE
143,143,-0.7218238406301348,0.006749804919074484,2024-05-18 14:25:46.743940,2024-05-18 14:25:52.307936,0 days 00:00:05.563996,967,0.17260011238648731,2,COMPLETE
144,144,-1.2016794695295758,0.007569640183072722,2024-05-18 14:25:52.307936,2024-05-18 14:25:54.396541,0 days 00:00:02.088605,133,0.7087737942871889,2,COMPLETE
145,145,-0.2819904042958388,0.005710985148914974,2024-05-18 14:25:54.398535,2024-05-18 14:25:59.473608,0 days 00:00:05.075073,859,0.003502905564865655,2,COMPLETE
146,146,-0.5583581732696796,0.00633877181509294,2024-05-18 14:25:59.475745,2024-05-18 14:26:04.872931,0 days 00:00:05.397186,888,0.5043092791493061,2,COMPLETE
147,147,-0.714276868598317,0.006698908244706159,2024-05-18 14:26:04.872931,2024-05-18 14:26:09.716795,0 days 00:00:04.843864,859,0.36183006028031994,2,COMPLETE
148,148,-0.3963587763497662,0.006008873577205228,2024-05-18 14:26:09.716795,2024-05-18 14:26:12.644550,0 days 00:00:02.927755,493,0.5043092791493061,2,COMPLETE
149,149,-0.6508873113336856,0.006505744626619303,2024-05-18 14:26:12.644550,2024-05-18 14:26:17.704782,0 days 00:00:05.060232,756,0.2977776617918658,2,COMPLETE
150,150,-1.0757899527299988,0.007056403733706048,2024-05-18 14:26:17.715482,2024-05-18 14:26:20.443576,0 days 00:00:02.728094,378,0.17260011238648731,3,COMPLETE
151,151,-0.5842220718379763,0.006487031465031781,2024-05-18 14:26:20.443576,2024-05-18 14:26:22.308433,0 days 00:00:01.864857,199,0.7087737942871889,3,COMPLETE
152,152,-0.6773378384916541,0.006574096820816074,2024-05-18 14:26:22.308433,2024-05-18 14:26:27.712286,0 days 00:00:05.403853,968,0.17260011238648731,3,COMPLETE
153,153,-0.9125642731958322,0.007087331434260871,2024-05-18 14:26:27.725832,2024-05-18 14:26:32.731148,0 days 00:00:05.005316,931,0.30814854003418424,3,COMPLETE
154,154,-0.7174747370907434,0.0068127452392552895,2024-05-18 14:26:32.731148,2024-05-18 14:26:34.864904,0 days 00:00:02.133756,151,0.49093197066078587,3,COMPLETE
155,155,-9.842411523752341,0.014919244814169235,2024-05-18 14:26:34.867896,2024-05-18 14:26:38.535564,0 days 00:00:03.667668,651,0.2872477928571312,3,COMPLETE
