,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,system_attrs_nsga2:generation,state
84,84,-0.1965940219900951,0.12579375062835846,2024-05-16 07:24:50.745622,2024-05-16 07:24:53.303902,0 days 00:00:02.558280,61,0.7788683972908844,1,COMPLETE
85,85,-0.44183288626860673,0.14509300502755842,2024-05-16 07:24:53.309748,2024-05-16 07:24:54.629597,0 days 00:00:01.319849,13,0.11022657972712635,1,COMPLETE
86,86,-2.6177265380625627,0.21500300537994077,2024-05-16 07:24:54.631020,2024-05-16 07:24:55.850977,0 days 00:00:01.219957,67,0.3094563354881841,1,COMPLETE
87,87,-0.8582960352424036,0.14503406114911063,2024-05-16 07:24:55.852972,2024-05-16 07:24:59.787256,0 days 00:00:03.934284,26,0.6525633668752677,1,COMPLETE
88,88,-0.28910334703577184,0.12531276679542816,2024-05-16 07:24:59.789103,2024-05-16 07:25:02.440452,0 days 00:00:02.651349,61,0.9950499976135305,1,COMPLETE
89,89,-0.22947251533088725,0.13338202756447498,2024-05-16 07:25:02.441450,2024-05-16 07:25:10.169703,0 days 00:00:07.728253,71,0.6695414789550771,1,COMPLETE
90,90,0.20681554967590232,0.103800753471327,2024-05-16 07:25:10.172837,2024-05-16 07:25:13.243560,0 days 00:00:03.070723,71,0.9624483078133885,1,COMPLETE
91,91,-0.5211879418702715,0.14505720870997635,2024-05-16 07:25:13.247360,2024-05-16 07:25:14.792734,0 days 00:00:01.545374,77,0.6930866179129677,1,COMPLETE
92,92,-0.29328111311005267,0.13549266730386575,2024-05-16 07:25:14.798886,2024-05-16 07:25:17.352722,0 days 00:00:02.553836,77,0.49950528559763596,1,COMPLETE
93,93,-0.317804116958497,0.13236343857929156,2024-05-16 07:25:17.353889,2024-05-16 07:25:20.199670,0 days 00:00:02.845781,12,0.9646015443308256,1,COMPLETE
94,94,-0.44261540445454556,0.1382957528696403,2024-05-16 07:25:20.201404,2024-05-16 07:25:22.306211,0 days 00:00:02.104807,44,0.13023813134409667,1,COMPLETE
95,95,-0.06595397512150603,0.12010167490573301,2024-05-16 07:25:22.309799,2024-05-16 07:25:24.822591,0 days 00:00:02.512792,17,0.355630327163997,1,COMPLETE
96,96,-0.3382083482206607,0.1309833038468783,2024-05-16 07:25:24.824900,2024-05-16 07:25:26.142831,0 days 00:00:01.317931,14,0.36481452400409264,1,COMPLETE
97,97,-0.6348511602994751,0.1463822364776639,2024-05-16 07:25:26.149751,2024-05-16 07:25:27.453730,0 days 00:00:01.303979,27,0.18665086304115386,1,COMPLETE
98,98,-0.8908269888874287,0.1594117677260897,2024-05-16 07:25:27.455361,2024-05-16 07:25:28.737702,0 days 00:00:01.282341,51,0.2668506961132193,1,COMPLETE
99,99,-0.8188800019746809,0.15078551353436742,2024-05-16 07:25:28.740737,2024-05-16 07:25:30.973977,0 days 00:00:02.233240,16,0.4059677410206354,1,COMPLETE
100,100,-0.6784805659171229,0.13707615412389418,2024-05-16 07:25:30.979657,2024-05-16 07:25:34.662890,0 days 00:00:03.683233,51,0.9616604812903293,2,COMPLETE
101,101,-0.7541958882257735,0.15283082042012955,2024-05-16 07:25:34.665554,2024-05-16 07:25:36.470852,0 days 00:00:01.805298,17,0.8313217016697068,2,COMPLETE
102,102,-1.6334761376239897,0.1892896008293814,2024-05-16 07:25:36.471849,2024-05-16 07:25:37.739735,0 days 00:00:01.267886,35,0.5509864773795611,2,COMPLETE
103,103,-0.06532266988221443,0.12015216304239802,2024-05-16 07:25:37.741957,2024-05-16 07:25:38.898565,0 days 00:00:01.156608,23,0.7988631722460279,2,COMPLETE
104,104,0.2612740454724136,0.09936935814643821,2024-05-16 07:25:38.899562,2024-05-16 07:25:42.311249,0 days 00:00:03.411687,90,0.7818126433629602,2,COMPLETE
105,105,0.5351981901088442,0.07841117697935247,2024-05-16 07:25:42.312834,2024-05-16 07:25:45.844558,0 days 00:00:03.531724,61,0.9950499976135305,2,COMPLETE
106,106,0.09368554109854144,0.11272751703545611,2024-05-16 07:25:45.845578,2024-05-16 07:25:49.232167,0 days 00:00:03.386589,44,0.6910350479330608,2,COMPLETE
107,107,-0.3761183551952031,0.12763360072044092,2024-05-16 07:25:49.233684,2024-05-16 07:25:51.802755,0 days 00:00:02.569071,66,0.8993982076620489,2,COMPLETE
108,108,-0.4441288944201892,0.14086229618699767,2024-05-16 07:25:51.804190,2024-05-16 07:25:52.726065,0 days 00:00:00.921875,24,0.2118488368719046,2,COMPLETE
109,109,-0.5053039506796967,0.1383070268566325,2024-05-16 07:25:52.729704,2024-05-16 07:25:55.032825,0 days 00:00:02.303121,48,0.8176656933735347,2,COMPLETE
110,110,0.015385206770685134,0.11915556392405276,2024-05-16 07:25:55.039690,2024-05-16 07:25:58.189152,0 days 00:00:03.149462,71,0.9950499976135305,2,COMPLETE
111,111,-0.11936948897735229,0.12168593423862221,2024-05-16 07:25:58.190586,2024-05-16 07:26:02.143002,0 days 00:00:03.952416,83,0.8229562714927089,2,COMPLETE
112,112,0.32042158355429146,0.09495815574597422,2024-05-16 07:26:02.147612,2024-05-16 07:26:04.389678,0 days 00:00:02.242066,66,0.7601202334505146,2,COMPLETE
113,113,-3.30716104283882,0.23903822001274122,2024-05-16 07:26:04.390302,2024-05-16 07:26:05.261696,0 days 00:00:00.871394,38,0.13023813134409667,2,COMPLETE
114,114,0.07614411434178585,0.1119977824519551,2024-05-16 07:26:05.264191,2024-05-16 07:26:07.932272,0 days 00:00:02.668081,75,0.3814294483480456,2,COMPLETE
115,115,-0.38870643237518915,0.14137372718634938,2024-05-16 07:26:07.933809,2024-05-16 07:26:10.060560,0 days 00:00:02.126751,17,0.8315170457301472,2,COMPLETE
116,116,-1.1199475317371173,0.16781895171284228,2024-05-16 07:26:10.062555,2024-05-16 07:26:11.571960,0 days 00:00:01.509405,44,0.2905136940541011,2,COMPLETE
117,117,-1.2617671673939561,0.15844852372168075,2024-05-16 07:26:11.575826,2024-05-16 07:26:15.116702,0 days 00:00:03.540876,26,0.9612892982664878,2,COMPLETE
118,118,-0.12126373073926107,0.127183341494154,2024-05-16 07:26:15.117700,2024-05-16 07:26:17.861110,0 days 00:00:02.743410,35,0.7522448046864667,2,COMPLETE
119,119,-0.6214572757672753,0.1434903077594129,2024-05-16 07:26:17.863105,2024-05-16 07:26:19.778647,0 days 00:00:01.915542,67,0.6865385407496499,2,COMPLETE
120,120,-0.37574199518877605,0.14134458302655448,2024-05-16 07:26:19.780642,2024-05-16 07:26:21.021803,0 days 00:00:01.241161,23,0.9210823343524714,2,COMPLETE
121,121,-0.28444781736654096,0.1273159420515868,2024-05-16 07:26:21.024947,2024-05-16 07:26:24.781782,0 days 00:00:03.756835,43,0.30167582655757474,2,COMPLETE
