,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,system_attrs_nsga2:generation,state
66,66,-0.7063175054204514,0.006812466707303577,2024-05-18 17:05:14.134714,2024-05-18 17:05:18.988268,0 days 00:00:04.853554,777,0.8804714239324669,0.7258346605540001,1,COMPLETE
67,67,-0.9558550436049711,0.007119013695913834,2024-05-18 17:05:18.988268,2024-05-18 17:05:20.920396,0 days 00:00:01.932128,77,0.20200066503773495,0.5635669832751843,1,COMPLETE
68,68,-0.153401897923447,0.0054863228267068645,2024-05-18 17:05:20.920396,2024-05-18 17:05:23.052381,0 days 00:00:02.131985,188,0.20200066503773495,0.820776984097283,1,COMPLETE
69,69,-1.1589255105612968,0.007599082070882242,2024-05-18 17:05:23.052381,2024-05-18 17:05:25.952926,0 days 00:00:02.900545,448,0.7201450099541198,0.2967159676093998,1,COMPLETE
70,70,-0.6314953408548762,0.006541551453952003,2024-05-18 17:05:25.962790,2024-05-18 17:05:28.166594,0 days 00:00:02.203804,203,0.06674672831297235,0.43363277337068695,1,COMPLETE
71,71,-0.7173405031930793,0.006669624979124063,2024-05-18 17:05:28.166594,2024-05-18 17:05:30.949802,0 days 00:00:02.783208,397,0.3563041679237753,0.49412273143514884,1,COMPLETE
72,72,-1.240810642550384,0.007666955961206141,2024-05-18 17:05:30.949802,2024-05-18 17:05:33.010712,0 days 00:00:02.060910,124,0.384961217983646,0.15083162222544833,1,COMPLETE
73,73,-1.2339308964996039,0.007601061543804516,2024-05-18 17:05:33.012882,2024-05-18 17:05:36.480690,0 days 00:00:03.467808,641,0.27203733702695154,0.4872521422079603,1,COMPLETE
74,74,-1.2011545050629884,0.007553738878877702,2024-05-18 17:05:36.480690,2024-05-18 17:05:38.360159,0 days 00:00:01.879469,55,0.260294513723215,0.49184019536298074,1,COMPLETE
75,75,-1.5883955534207754,0.008308924239308964,2024-05-18 17:05:38.363384,2024-05-18 17:05:43.938505,0 days 00:00:05.575121,983,0.8986201057902558,0.8125902106079902,1,COMPLETE
